,Name,Brand,Price,Star_Ratings,Dial_Shape,Strap_Color,Model,Battery_Life,Call_Function,Bluetooth_Version,Display_Resolution,Display_Size,Weight,Battery_Type,Operating_System,Internal_Memory,GPS,No_of_Ratings,No_of_Reviews
304,"Fire-Boltt Epic with1.69"" 2.5D Curved Glass,SPO2, Heart Rate tracking, Touchscreen Smartwatch",Fire-Boltt,1199,4.1,Square,Gold,"Epic with1.69"" 2.5D Curved Glass,SPO2, Heart Rate tracking, Touchscreen",7,No,5.0,240 x 280,42.93,23,Lithium Ion,iOS 9 and Above | Android 6 and Above,1 GB,No,78290,10942
306,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Gold,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,iOS 9 and Above | Android 6 and Above,1 GB,No,220415,34430
307,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Pink,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,iOS 9 and Above | Android 6 and Above,1 GB,No,220415,34430
311,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,iOS 9 and Above | Android 6 and Above,1 GB,No,183350,14403
316,"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2 Smartwatch",Boult,1099,4.1,Rectangle,White,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",7,Yes,5.0,240 x 280,46.99,42,Lithium Ion,iOS 9 and Above | Android 6 and Above,1 GB,No,183350,14403
317,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67 Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,iOS 9 and Above | Android 6 and Above,1 GB,No,183350,14403
320,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Orange,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,45,Lithium Polymer,Android&IOS,1 GB,No,43772,4441
328,Fire-Boltt Ninja Calling Pro 1.69 inch Bluetooth Calling Smartwatch with AI Voice Assistant Smartwatch,Fire-Boltt,1299,4.2,Square,Green,Ninja Calling Pro 1.69 inch Bluetooth Calling Smartwatch with AI Voice Assistant,5,Yes,5.0,240 x 280,42.93,40,Lithium Ion,Android&IOS,1 GB,No,220415,34430
331,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Silver,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,ios 9 and above | Android 6 and above,1 GB,No,220415,34430
336,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Blue,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,ios 9 and above | Android 6 and above,1 GB,No,220415,34430
337,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Gold,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,ios 9 and above | Android 6 and above,1 GB,No,220415,34430
338,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant Smartwatch",Noise,1399,4.1,Rectangle,Blue,"Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant",7,Yes,5.0,240 x 296,48.51,40,Lithium Ion,ios 9 and above | Android 6 and above,1 GB,No,412996,27254
340,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1499,4.2,Square,Green,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android5.0 and above/iOS10.0 and above,1 GB,No,220415,34430
